state,corp_type,emp_size,score,confidence,establishments,employees,avg_salary_thousands
District of Columbia,c-corp,250-499,68.7,low,74,24335,108.20764331210191
District of Columbia,c-corp,5-9,68.6,high,1300,8737,106.1589790545954
District of Columbia,c-corp,50-99,71.8,medium,281,19286,121.83910608731722
District of Columbia,c-corp,500-999,75.6,low,24,15322,153.88474089544445
District of Columbia,c-corp,1-4,61.3,high,3675,6511,121.55444632160959
District of Columbia,sole-proprietor,10-19,57.5,medium,106,1438,56.96314325452017
District of Columbia,sole-proprietor,100-249,48.8,low,19,2862,65.75262054507337
District of Columbia,sole-proprietor,20-49,61.6,low,93,3019,69.03875455448824
District of Columbia,sole-proprietor,250-499,65.8,low,4,1412,122.35835694050992
District of Columbia,sole-proprietor,5-9,58.8,medium,216,1397,59.691481746599855
District of Columbia,sole-proprietor,50-99,56.9,low,21,1495,68.07959866220736
District of Columbia,sole-proprietor,1-4,49.5,high,1104,1770,64.18757062146892
District of Columbia,nonprofit,1000+,47.8,low,17,60575,69.54568716467189
District of Columbia,nonprofit,10-19,68.6,medium,805,10992,88.11008005822416
District of Columbia,nonprofit,100-249,73,medium,207,31399,95.51205452402942
District of Columbia,nonprofit,20-49,69.9,medium,656,20711,94.15576263821158
District of Columbia,nonprofit,250-499,67.2,low,53,18279,97.47639367580284
District of Columbia,nonprofit,5-9,67.8,medium,921,6187,88.13285922094715
District of Columbia,nonprofit,50-99,72.7,medium,315,21817,98.79318879772654
District of Columbia,nonprofit,500-999,69.4,low,15,11054,112.97819793739822
District of Columbia,nonprofit,1-4,54.7,high,1988,3961,92.36758394344862
District of Columbia,other,10-19,47.8,low,16,225,75.2088888888889
District of Columbia,other,100-249,19.6,low,3,501,20.10379241516966
District of Columbia,other,20-49,45.1,low,12,372,74.49731182795699
District of Columbia,other,5-9,73.2,low,14,97,124.14432989690722
District of Columbia,other,50-99,21.5,low,3,190,18.36842105263158
District of Columbia,other,1-4,38.1,low,37,75,81.82666666666667
District of Columbia,partnership,1000+,56.8,low,6,9522,109.14303717706365
District of Columbia,partnership,10-19,61.9,medium,530,7385,77.0109681787407
District of Columbia,partnership,100-249,74,low,98,14676,156.09266830198965
District of Columbia,partnership,20-49,65.8,medium,537,16778,85.89790201454285
District of Columbia,partnership,250-499,76.2,low,33,11240,155.80106761565835
District of Columbia,partnership,5-9,63.3,medium,576,3970,81.59874055415617
District of Columbia,partnership,50-99,69.1,medium,205,13962,88.50666093682854
District of Columbia,partnership,500-999,74.3,low,16,10287,156.88558374647613
District of Columbia,partnership,1-4,47.9,high,1405,2448,101.16053921568627
District of Columbia,s-corp,1000+,35.3,low,4,5210,52.00460652591171
District of Columbia,s-corp,10-19,61.9,medium,678,9197,78.50081548330978
District of Columbia,s-corp,100-249,65.6,low,72,10533,76.37444222918447
District of Columbia,s-corp,20-49,61.8,medium,517,15933,75.28990146237369
District of Columbia,s-corp,250-499,39.9,low,21,6543,50.034846400733606
District of Columbia,s-corp,5-9,60,high,1027,6765,73.47849223946785
District of Columbia,s-corp,50-99,64,medium,166,11220,72.41417112299466
District of Columbia,s-corp,500-999,58.3,low,4,2235,80.23713646532438
District of Columbia,s-corp,1-4,52.7,high,3933,6209,106.25301980995329
Florida,c-corp,1000+,52.5,medium,325,1749478,66.73103634341214
Florida,c-corp,10-19,52.6,high,19585,267228,56.088242998488184
Florida,c-corp,100-249,50.5,high,4631,712292,57.6802322642961
Florida,c-corp,20-49,51.8,high,15445,460775,56.717183006890565
Florida,c-corp,250-499,55.5,high,1287,440291,68.46216025310534
Florida,c-corp,5-9,54,high,23564,157942,59.94158615187854
Florida,c-corp,50-99,51.1,high,5645,390710,60.187005707558036
Florida,c-corp,500-999,54.6,medium,466,315635,72.3366515120313
Florida,c-corp,1-4,53.5,high,60554,101111,80.12128255085995
Florida,government,1000+,56.2,low,24,70605,86.33926775724099
Florida,government,100-249,43.1,low,5,909,60.29152915291529
Florida,government,20-49,33.5,low,3,94,46.265957446808514
Florida,government,250-499,56.6,low,3,1051,95.91341579448145
Florida,government,500-999,54.2,low,8,5834,66.8909838875557
Florida,sole-proprietor,1000+,56.3,low,19,40755,67.10158262789842
Florida,sole-proprietor,10-19,58.4,high,1782,24001,43.76875963501521
Florida,sole-proprietor,100-249,52.5,medium,261,38708,56.566859563914434
Florida,sole-proprietor,20-49,56.5,high,1424,42616,40.276539327951944
Florida,sole-proprietor,250-499,53.3,low,56,19228,57.84215727064697
Florida,sole-proprietor,5-9,53.9,high,3359,21556,40.36885321952125
Florida,sole-proprietor,50-99,52,medium,518,35793,40.58972424775794
Florida,sole-proprietor,500-999,52.1,low,30,20560,63.404717898832686
Florida,sole-proprietor,1-4,48.7,high,21735,29334,44.93045612599714
Florida,nonprofit,1000+,54.6,low,98,263513,66.48602535738274
Florida,nonprofit,10-19,47.3,high,3588,48549,41.43881439370533
Florida,nonprofit,100-249,48.4,medium,729,109467,49.9833922552002
Florida,nonprofit,20-49,46.3,high,2890,89429,41.80197698733073
Florida,nonprofit,250-499,50,medium,161,53331,54.7193377210253
Florida,nonprofit,5-9,48.8,high,5275,34963,39.183594085175756
Florida,nonprofit,50-99,48.4,high,1225,85783,46.165219215928566
Florida,nonprofit,500-999,54.4,low,71,53488,67.32291355070296
Florida,nonprofit,1-4,47.7,high,12678,23935,43.633089617714646
Florida,other,1000+,57.1,low,5,11319,97.4849368318756
Florida,other,10-19,60,medium,165,2202,86.17620345140782
Florida,other,100-249,54.9,low,31,4659,52.79244473062889
Florida,other,20-49,52,medium,150,4448,63.72032374100719
Florida,other,250-499,42,low,7,1894,45.278247096092926
Florida,other,5-9,52,medium,172,1154,60.3682842287695
Florida,other,50-99,55.4,low,45,2852,48.428471248246844
Florida,other,500-999,33.8,low,3,1578,53.465145754119135
Florida,other,1-4,43.1,medium,380,698,92.4570200573066
Florida,partnership,1000+,47.3,low,44,160268,52.17182469363816
Florida,partnership,10-19,54.6,high,8009,110315,47.841109549925214
Florida,partnership,100-249,51.7,high,1081,161887,58.47597398185154
Florida,partnership,20-49,53.1,high,7141,217606,45.87431412736781
Florida,partnership,250-499,54.7,medium,257,87486,68.18750428640011
Florida,partnership,5-9,54.1,high,9945,65895,50.48698687305562
Florida,partnership,50-99,54.4,high,2350,160499,51.077813568931894
Florida,partnership,500-999,56.2,low,89,61314,77.57652412173402
Florida,partnership,1-4,49.7,high,35028,53577,72.42658230210725
Florida,s-corp,1000+,53.2,low,74,299122,52.492040037175464
Florida,s-corp,10-19,51.5,high,31244,419229,47.03698217442019
Florida,s-corp,100-249,57.1,high,1916,276963,54.935370428541
Florida,s-corp,20-49,50.6,high,18596,553003,46.65678667204337
Florida,s-corp,250-499,58.4,medium,336,112915,56.42836647035381
Florida,s-corp,5-9,52,high,51143,336481,46.95897539534179
Florida,s-corp,50-99,53.1,high,4849,327600,48.91582112332112
Florida,s-corp,500-999,47.8,medium,121,83502,47.20824650906565
Florida,s-corp,1-4,43.3,high,272725,401311,53.144713202478876
Georgia,c-corp,1000+,58.8,medium,171,401466,87.68656374387868
Georgia,c-corp,10-19,49.2,high,10397,143785,54.23189484299475
Georgia,c-corp,100-249,50.9,high,2500,386114,63.79588929694339
Georgia,c-corp,20-49,49.4,high,8350,247643,57.68389576931308
Georgia,c-corp,250-499,57.2,medium,769,261349,74.42594385285577
Georgia,c-corp,5-9,49.3,high,12173,81901,56.5444377968523
Georgia,c-corp,50-99,50,high,2961,206353,65.42261561498985
Georgia,c-corp,500-999,60.1,medium,308,211158,86.30263594085945
Georgia,c-corp,1-4,51.3,high,24546,43927,82.71254581464703
Georgia,government,1000+,46.1,low,7,15791,82.9316066113609
Georgia,government,100-249,42.1,low,16,2591,43.80470860671555
Georgia,government,250-499,39,low,6,2211,51.933514246947084
Georgia,government,500-999,49,low,6,3729,64.53419147224457
Georgia,sole-proprietor,1000+,46.4,low,10,13814,63.7716809034313
Georgia,sole-proprietor,10-19,51.8,high,1236,16130,36.758462492250466
Georgia,sole-proprietor,100-249,50.7,medium,133,19680,56.49334349593496
Georgia,sole-proprietor,20-49,53.5,medium,802,23618,39.9531289694301
Georgia,sole-proprietor,250-499,55.2,low,36,12488,76.4379404228059
Georgia,sole-proprietor,5-9,49.1,high,2570,16338,35.03176643408006
Georgia,sole-proprietor,50-99,51.2,medium,246,17033,44.665061938589794
Georgia,sole-proprietor,500-999,47.4,low,13,9904,62.18477382875606
Georgia,sole-proprietor,1-4,47.2,high,13482,19230,44.091211648465936
Georgia,nonprofit,1000+,52.8,low,56,141689,69.31224724572832
Georgia,nonprofit,10-19,43.6,high,1886,25558,41.7732608185304
Georgia,nonprofit,100-249,48.6,medium,291,44913,53.84051388239485
Georgia,nonprofit,20-49,43.8,high,1547,46708,43.15952299391967
Georgia,nonprofit,250-499,52.4,medium,116,40014,62.63390313390313
Georgia,nonprofit,5-9,44.7,high,2898,19071,38.64595459073987
Georgia,nonprofit,50-99,43.9,medium,553,37727,45.073183661568635
Georgia,nonprofit,500-999,49.8,low,43,29637,63.18318318318318
Georgia,nonprofit,1-4,44.3,high,8046,15519,38.98872350022553
Georgia,other,1000+,45.2,low,3,7258,92.12813447230641
Georgia,other,10-19,46.4,low,55,711,56.90857946554149
Georgia,other,100-249,47.5,low,16,2438,48.71739130434783
Georgia,other,20-49,47.4,low,38,1208,62.41556291390729
Georgia,other,5-9,50.3,low,77,530,67.67547169811321
Georgia,other,50-99,52.4,low,29,2100,47.889047619047616
Georgia,other,500-999,49.7,low,5,3259,70.9880331389997
Georgia,other,1-4,40.1,medium,217,428,71.20560747663552
Georgia,partnership,1000+,50,low,29,49430,66.38818531256322
Georgia,partnership,10-19,45.9,high,4083,55820,42.42878896452884
Georgia,partnership,100-249,51.2,medium,531,80449,67.3665676391254
Georgia,partnership,20-49,45.3,high,3599,109243,41.742445740230494
Georgia,partnership,250-499,52.9,medium,121,41137,73.26781243163089
Georgia,partnership,5-9,47.5,high,4778,31894,46.42901486172948
Georgia,partnership,50-99,54.4,high,1163,78995,53.50871574150263
Georgia,partnership,500-999,50.6,low,55,38942,67.27959529556777
Georgia,partnership,1-4,45.2,high,13663,21836,71.19660194174757
Georgia,s-corp,1000+,41.6,low,26,58796,41.930777603918635
Georgia,s-corp,10-19,46.2,high,13245,177909,46.215312322591885
Georgia,s-corp,100-249,55.5,medium,964,142375,54.19025812115891
Georgia,s-corp,20-49,45,high,8666,258146,45.1589604332432
Georgia,s-corp,250-499,55.1,medium,204,69440,54.99288594470046
Georgia,s-corp,5-9,47.5,high,20550,135308,46.51363555739498
Georgia,s-corp,50-99,51.2,high,2299,155661,49.43930721246812
Georgia,s-corp,500-999,45.5,low,56,35471,47.436976685179445
Georgia,s-corp,1-4,41.6,high,87727,133024,55.758735265816696
Hawaii,c-corp,1000+,33.5,low,12,40140,60.46781265570503
Hawaii,c-corp,10-19,36.7,high,1820,24863,55.12685516631139
Hawaii,c-corp,100-249,36.7,medium,265,40026,58.76595213111477
Hawaii,c-corp,20-49,37.2,high,1448,42797,58.21270182489427
Hawaii,c-corp,250-499,35.5,medium,100,33864,57.251830852823055
Hawaii,c-corp,5-9,36.7,high,2258,15005,55.17280906364545
Hawaii,c-corp,50-99,34.5,medium,497,34196,55.15870277225407
Hawaii,c-corp,500-999,38.5,low,36,24752,60.153926955397544
Hawaii,c-corp,1-4,36.6,high,4932,9323,71.50777646680253
Hawaii,government,100-249,42.8,low,4,687,63.467248908296945
Hawaii,sole-proprietor,10-19,40.4,medium,224,2974,36.53833221250841
Hawaii,sole-proprietor,100-249,44.7,low,10,1685,66.84510385756677
Hawaii,sole-proprietor,20-49,40.7,medium,104,3054,36.77406679764243
Hawaii,sole-proprietor,250-499,30.9,low,5,1410,49.96241134751773
Hawaii,sole-proprietor,5-9,38.8,medium,495,3180,33.095283018867924
Hawaii,sole-proprietor,50-99,39.4,low,48,3317,34.999698522761534
Hawaii,sole-proprietor,500-999,31.1,low,4,2787,47.900251166128456
Hawaii,sole-proprietor,1-4,32.8,high,2133,3505,36.38202567760342
Hawaii,nonprofit,1000+,48.9,low,9,17054,80.80602791134045
Hawaii,nonprofit,10-19,32.7,medium,327,4335,42.29111880046136
Hawaii,nonprofit,100-249,38.6,low,68,9962,51.27755470788998
Hawaii,nonprofit,20-49,34.9,medium,308,9546,44.187932118164674
Hawaii,nonprofit,250-499,34.4,low,12,3890,49.29974293059126
Hawaii,nonprofit,5-9,32.9,medium,496,3260,40.08588957055215
Hawaii,nonprofit,50-99,38.3,medium,101,6856,49.698220536756125
Hawaii,nonprofit,500-999,53.5,low,11,8358,86.95345776501556
Hawaii,nonprofit,1-4,46.9,high,1155,2270,95.58810572687224
Hawaii,other,1000+,32.5,low,3,4865,53.42199383350462
Hawaii,other,10-19,36.4,low,3,42,57.19047619047619
Hawaii,other,5-9,31.4,low,6,40,41.35
Hawaii,other,1-4,28.1,low,13,18,59.55555555555556
Hawaii,partnership,10-19,33.2,medium,457,6384,43.52396616541353
Hawaii,partnership,100-249,37.6,low,59,8037,59.270872216000996
Hawaii,partnership,20-49,32.1,medium,364,10934,42.29952441924273
Hawaii,partnership,250-499,33.9,low,10,3465,49.8995670995671
Hawaii,partnership,5-9,29,medium,588,3961,38.556930068164604
Hawaii,partnership,50-99,38.5,medium,128,8626,50.91942963134709
Hawaii,partnership,500-999,27.4,low,6,4156,41.34841193455245
Hawaii,partnership,1-4,26.7,high,1500,2578,58.03025601241272
Hawaii,s-corp,10-19,33.2,high,1352,18084,45.43878566688786
Hawaii,s-corp,100-249,40.7,low,51,7728,52.263328157349896
Hawaii,s-corp,20-49,34.7,medium,779,23098,47.00666724391722
Hawaii,s-corp,250-499,30.3,low,9,2886,39.795911295911296
Hawaii,s-corp,5-9,36.4,high,2283,14999,46.173544902993534
Hawaii,s-corp,50-99,41.8,medium,223,14586,52.536953242835594
Hawaii,s-corp,500-999,30.3,low,4,2773,46.562206996033176
Hawaii,s-corp,1-4,30.2,high,8133,12844,57.94908128308938
Idaho,c-corp,1000+,50.7,low,15,30427,103.0138363953068
Idaho,c-corp,10-19,36.4,high,1534,20816,54.28141813989239
Idaho,c-corp,100-249,37,medium,276,43157,58.68216048381491
Idaho,c-corp,20-49,35.1,high,1225,36647,53.49960433323328
Idaho,c-corp,250-499,35.1,low,90,31796,54.48490376147943
Idaho,c-corp,5-9,37,high,1941,13074,57.68877160777115
Idaho,c-corp,50-99,35.8,medium,446,30728,57.21124056235355
Idaho,c-corp,500-999,45.4,low,32,20871,77.63734368262182
Idaho,c-corp,1-4,38,high,3507,6353,79.41539430190461
Idaho,government,100-249,44.6,low,11,1801,55.220988339811214
Idaho,government,20-49,33.2,low,3,99,52.13131313131313
Idaho,government,250-499,32.2,low,4,1361,50.642909625275536
Idaho,government,5-9,43.8,low,48,228,32.12719298245614
Idaho,government,1-4,41.3,low,17,57,32.54385964912281
Idaho,sole-proprietor,10-19,36.1,medium,319,4217,30.27768555845388
Idaho,sole-proprietor,100-249,39.4,low,8,1073,51.531220876048465
Idaho,sole-proprietor,20-49,34,medium,185,5133,26.75375024352231
Idaho,sole-proprietor,5-9,33.7,medium,741,4671,27.8190965532006
Idaho,sole-proprietor,50-99,38.4,low,30,2029,38.13947757516018
Idaho,sole-proprietor,1-4,32.2,high,4650,6526,34.053631627336806
Idaho,nonprofit,1000+,28.9,low,5,18204,48.761426060206546
Idaho,nonprofit,10-19,33.4,medium,428,5667,42.216869595906125
Idaho,nonprofit,100-249,47.7,low,57,8326,64.19601249099208
Idaho,nonprofit,20-49,37.1,medium,279,8359,48.350520397176695
Idaho,nonprofit,250-499,50.8,low,13,4254,78.57874941231782
Idaho,nonprofit,5-9,32.6,medium,636,4207,36.135963869740905
Idaho,nonprofit,50-99,38.2,low,99,6450,49.0691472868217
Idaho,nonprofit,500-999,34.6,low,10,6885,50.440522875816995
Idaho,nonprofit,1-4,33.6,high,1584,2960,42.11689189189189
Idaho,other,10-19,41,low,21,293,62.419795221843
Idaho,other,100-249,42.2,low,8,1107,49.04697380307137
Idaho,other,20-49,39.1,low,25,783,49.82375478927203
Idaho,other,250-499,29.5,low,3,1142,50.4614711033275
Idaho,other,5-9,33.4,low,22,154,36.35064935064935
Idaho,other,50-99,43.6,low,12,826,42.699757869249396
Idaho,other,1-4,29.3,low,41,72,75.61111111111111
Idaho,partnership,10-19,33.2,high,1183,16248,37.28071147218119
Idaho,partnership,100-249,34.3,low,89,13146,44.968431462041686
Idaho,partnership,20-49,32.1,medium,937,27927,35.13954237834354
Idaho,partnership,250-499,40.5,low,23,7628,58.55781331934976
Idaho,partnership,5-9,33.1,high,1577,10301,37.792641491117365
Idaho,partnership,50-99,38,medium,231,15980,44.25976220275344
Idaho,partnership,500-999,42.5,low,7,4942,65.50890327802509
Idaho,partnership,1-4,28,high,4673,7318,55.30213172998087
Idaho,s-corp,10-19,34.6,high,3357,45170,42.50398494576046
Idaho,s-corp,100-249,40.7,medium,201,28518,49.236377025036816
Idaho,s-corp,20-49,34.1,high,2042,59977,42.86653217066542
Idaho,s-corp,250-499,38.4,low,20,6544,50.73303789731052
Idaho,s-corp,5-9,36.1,high,4964,32964,43.899102050722
Idaho,s-corp,50-99,38.1,medium,485,32504,46.42742431700714
Idaho,s-corp,500-999,53.8,low,4,2479,71.040338846309
Idaho,s-corp,1-4,32,high,19073,28027,54.80640097049274
Illinois,c-corp,1000+,61,medium,191,511512,91.93896917374373
Illinois,c-corp,10-19,52.1,high,12741,174006,60.933962047285725
Illinois,c-corp,100-249,62,high,2767,425454,79.31878416938142
Illinois,c-corp,20-49,53.8,high,10087,304534,65.24518116203774
Illinois,c-corp,250-499,63,medium,981,334974,82.79794849749533
Illinois,c-corp,5-9,52.1,high,15659,103936,61.76942541564039
Illinois,c-corp,50-99,57.6,high,3838,267990,75.4999179073846
Illinois,c-corp,500-999,64.4,medium,329,226762,95.51063229288857
Illinois,c-corp,1-4,50.6,high,34159,59861,81.55009104425253
Illinois,government,1000+,68,low,7,21140,116.38117313150426
Illinois,government,100-249,52.7,low,10,1816,67.09581497797357
Illinois,government,250-499,50.7,low,10,3540,64.04576271186441
Illinois,sole-proprietor,1000+,78.7,low,13,29024,124.38978087100331
Illinois,sole-proprietor,10-19,54.2,high,1148,15353,41.77802383898912
Illinois,sole-proprietor,100-249,67.9,medium,168,26540,85.09084400904295
Illinois,sole-proprietor,20-49,58.9,medium,748,22660,49.22325684024713
Illinois,sole-proprietor,250-499,83.1,low,39,12630,124.15178147268409
Illinois,sole-proprietor,5-9,50.1,high,2670,17079,37.44627905615083
Illinois,sole-proprietor,50-99,60.6,medium,270,18441,56.03123474865788
Illinois,sole-proprietor,500-999,52.6,low,9,6608,74.88816585956417
Illinois,sole-proprietor,1-4,47.2,high,15344,23114,45.11966773384096
Illinois,nonprofit,1000+,56.1,medium,105,264473,70.8193123683703
Illinois,nonprofit,10-19,47.6,high,3032,40511,44.77519686011207
Illinois,nonprofit,100-249,50.6,medium,554,82446,54.2420978579919
Illinois,nonprofit,20-49,50.1,high,2530,78060,48.72761977965668
Illinois,nonprofit,250-499,52.7,medium,161,54787,60.48433022432329
Illinois,nonprofit,5-9,47.9,high,4902,32508,40.09286944752061
Illinois,nonprofit,50-99,53.1,medium,996,68663,53.39389481962629
Illinois,nonprofit,500-999,50.9,low,89,60792,57.04110738255034
Illinois,nonprofit,1-4,46.5,high,11000,21975,41.82261660978384
Illinois,other,1000+,75.4,low,4,7225,136.36650519031141
Illinois,other,10-19,49.2,medium,239,3261,60.741796994786874
Illinois,other,100-249,56.1,low,12,2004,74.39770459081836
Illinois,other,20-49,49.2,medium,111,3506,61.87678265830006
Illinois,other,250-499,54.2,low,10,3694,78.07146724417976
Illinois,other,5-9,50.7,medium,232,1579,61.32488917036099
Illinois,other,50-99,60.2,low,36,2512,57.63574840764331
Illinois,other,500-999,50.3,low,3,1878,86.90947816826412
Illinois,other,1-4,37.3,medium,341,744,64.97849462365592
Illinois,partnership,1000+,57.3,low,46,89537,92.48533008700313
Illinois,partnership,10-19,54.7,high,4418,60059,52.846434339566095
Illinois,partnership,100-249,60.3,medium,804,118714,81.96775443502872
Illinois,partnership,20-49,58.3,high,3894,121227,57.59609657914491
Illinois,partnership,250-499,63.3,medium,168,58101,92.73873083079465
Illinois,partnership,5-9,56.7,high,5168,34611,57.589090173644216
Illinois,partnership,50-99,61,high,1577,107589,61.36984264190577
Illinois,partnership,500-999,72.4,low,62,41495,120.73399204723461
Illinois,partnership,1-4,49.9,high,13498,23167,84.13868865196184
Illinois,s-corp,1000+,44.8,low,56,107139,43.17047947059427
Illinois,s-corp,10-19,50.7,high,16487,222014,50.46521390542939
Illinois,s-corp,100-249,61.8,high,1375,201215,61.27810550903263
Illinois,s-corp,20-49,54.1,high,10640,318323,52.90507754701985
Illinois,s-corp,250-499,58.1,medium,291,98630,56.54262394808882
Illinois,s-corp,5-9,51,high,25072,165223,49.84255823947029
Illinois,s-corp,50-99,61.2,high,2967,201978,58.80731564823892
Illinois,s-corp,500-999,53.7,low,99,64442,54.06152819589708
Illinois,s-corp,1-4,41.5,high,110175,161476,57.71631078302658
Indiana,c-corp,1000+,52.9,medium,112,248380,81.19248731781947
Indiana,c-corp,10-19,40.5,high,5711,77769,48.56314212603994
Indiana,c-corp,100-249,46.1,high,1336,208623,61.3854416818855
Indiana,c-corp,20-49,40.1,high,5109,151930,50.88193246890015
Indiana,c-corp,250-499,44.6,medium,472,159689,59.11540556957586
Indiana,c-corp,5-9,41.4,high,7572,50014,49.19100651817491
Indiana,c-corp,50-99,43.6,high,1803,125068,59.621166085649406
Indiana,c-corp,500-999,49.9,medium,204,138540,66.54806554063808
Indiana,c-corp,1-4,39.1,high,12073,22772,68.14403653609696
Indiana,government,1000+,35.4,low,5,12281,66.89381972152106
Indiana,government,250-499,53.3,low,12,3908,66.07369498464688
Indiana,government,500-999,57.5,low,12,9046,72.71147468494362
Indiana,sole-proprietor,1000+,31.5,low,3,6458,58.299473521214
Indiana,sole-proprietor,10-19,43.4,medium,777,10126,33.0981631443808
Indiana,sole-proprietor,100-249,47.7,low,85,12672,56.81392045454545
Indiana,sole-proprietor,20-49,46.3,medium,475,14461,36.76578383237674
Indiana,sole-proprietor,250-499,45.9,low,16,5522,63.186345526982976
Indiana,sole-proprietor,5-9,41.8,high,1948,12517,31.9207477830151
Indiana,sole-proprietor,50-99,43.1,medium,168,11670,35.6369323050557
Indiana,sole-proprietor,500-999,47.7,low,6,4403,68.43493072904838
Indiana,sole-proprietor,1-4,41.7,high,9308,14358,38.688118122301155
Indiana,nonprofit,1000+,48,low,48,105995,62.686551252417566
Indiana,nonprofit,10-19,42.1,high,1938,25971,40.320742366485696
Indiana,nonprofit,100-249,47.9,medium,326,50189,53.59867700093646
Indiana,nonprofit,20-49,43.4,high,1499,45414,43.714977760162064
Indiana,nonprofit,250-499,52.5,low,89,30897,64.31893064051526
Indiana,nonprofit,5-9,43,high,3038,19807,35.718483364467104
Indiana,nonprofit,50-99,44.1,medium,557,38545,45.706005967051496
Indiana,nonprofit,500-999,45.4,low,37,25176,54.519343819510645
Indiana,nonprofit,1-4,39.7,high,7430,14203,35.05336900654791
Indiana,other,10-19,44.7,low,88,1194,62.105527638190956
Indiana,other,100-249,47.1,low,11,1672,52.89055023923445
Indiana,other,20-49,43.7,low,53,1445,62.57370242214533
Indiana,other,5-9,44.2,low,70,458,61.88646288209607
Indiana,other,50-99,47.1,low,18,1174,47.499148211243615
Indiana,other,1-4,34.6,medium,130,284,68.8556338028169
Indiana,partnership,1000+,40.8,low,17,35465,49.957732976173695
Indiana,partnership,10-19,39.2,high,2695,36447,37.48799626855434
Indiana,partnership,100-249,42.3,medium,476,69047,46.414283024606426
Indiana,partnership,20-49,40.5,high,2069,62910,40.29519949133683
Indiana,partnership,250-499,44.7,low,92,30440,52.680650459921154
Indiana,partnership,5-9,40.1,high,3178,20966,41.38591052179719
Indiana,partnership,50-99,43.5,medium,772,53047,44.00961411578412
Indiana,partnership,500-999,51.5,low,34,22544,72.26685592618878
Indiana,partnership,1-4,39.7,high,8064,13949,70.08344684206753
Indiana,s-corp,1000+,44.9,low,12,29603,55.0992804783299
Indiana,s-corp,10-19,41.7,high,9823,133191,44.16581450698621
Indiana,s-corp,100-249,49.2,medium,844,124535,51.00063435981853
Indiana,s-corp,20-49,43.2,high,6712,200758,45.153553034001135
Indiana,s-corp,250-499,54.2,medium,166,55851,54.708223666541336
Indiana,s-corp,5-9,41.3,high,13765,92052,43.89208273584496
Indiana,s-corp,50-99,49.3,high,1950,132470,49.328776326715484
Indiana,s-corp,500-999,62.3,low,42,28382,66.551335353393
Indiana,s-corp,1-4,33.6,high,40491,67629,50.82157062798504
Iowa,c-corp,1000+,46.2,low,59,156630,69.66010981293495
Iowa,c-corp,10-19,40.4,high,3410,45828,55.45282360129179
Iowa,c-corp,100-249,41.1,medium,596,93036,57.816952577496885
Iowa,c-corp,20-49,38.9,high,2537,75256,55.376262357818646
Iowa,c-corp,250-499,39.5,medium,265,91306,56.21438897772326
Iowa,c-corp,5-9,39.9,high,4226,28080,54.91146723646724
Iowa,c-corp,50-99,40.1,medium,858,58970,60.10103442428353
Iowa,c-corp,500-999,48.1,low,90,61262,69.95537200874931
Iowa,c-corp,1-4,35.1,high,7143,13564,66.13063992922442
Iowa,government,1000+,41.5,low,4,14743,77.32333989011734
Iowa,government,100-249,55.5,low,30,5228,59.973221117061975
Iowa,government,250-499,55.9,low,24,8551,62.1585779441001
Iowa,sole-proprietor,10-19,35,medium,500,6741,26.50007417297137
Iowa,sole-proprietor,100-249,38,low,16,2419,48.58205870194295
Iowa,sole-proprietor,20-49,34.6,medium,281,8216,24.72200584225901
Iowa,sole-proprietor,250-499,37.4,low,7,2279,48.518209741114525
Iowa,sole-proprietor,5-9,34.8,high,1141,7374,27.102386764307024
Iowa,sole-proprietor,50-99,42.8,low,69,4977,39.45428973277075
Iowa,sole-proprietor,500-999,41.2,low,3,1872,71.25534188034187
Iowa,sole-proprietor,1-4,34.1,high,7215,10486,32.65439633797444
Iowa,nonprofit,1000+,40.8,low,18,31347,55.72922448719176
Iowa,nonprofit,10-19,38.3,high,1067,14625,39.8611282051282
Iowa,nonprofit,100-249,36.9,medium,198,29800,42.70959731543624
Iowa,nonprofit,20-49,38.6,medium,821,24915,42.200441501103754
Iowa,nonprofit,250-499,43,low,50,17508,52.047978067169296
Iowa,nonprofit,5-9,38.7,high,1842,12076,34.87297118251077
Iowa,nonprofit,50-99,40,medium,347,24269,42.917013473979154
Iowa,nonprofit,500-999,37.6,low,29,20327,44.17789147439366
Iowa,nonprofit,1-4,35.1,high,4502,9088,31.171654929577464
Iowa,other,10-19,46.2,medium,185,2488,58.772909967845656
Iowa,other,100-249,55.2,low,10,1430,77.06573426573426
Iowa,other,20-49,47.4,medium,116,3463,63.11261911637309
Iowa,other,5-9,47.3,medium,229,1622,57.36621454993835
Iowa,other,50-99,58.7,low,18,1384,65.03540462427746
Iowa,other,1-4,36.2,medium,256,621,66.09017713365539
Iowa,partnership,10-19,33.9,high,1292,17785,36.491706494236716
Iowa,partnership,100-249,39,medium,103,14681,55.87459982290035
Iowa,partnership,20-49,35.3,medium,880,26108,40.47169449977019
Iowa,partnership,250-499,48,low,20,7213,79.17135727159295
Iowa,partnership,5-9,32.5,high,1534,10286,36.99698619482792
Iowa,partnership,50-99,42.5,medium,244,16406,49.943740095087165
Iowa,partnership,500-999,36.6,low,6,4146,59.65629522431259
Iowa,partnership,1-4,31,high,4761,7678,60.625814014066165
Iowa,s-corp,1000+,39,low,4,7464,58.66586280814577
Iowa,s-corp,10-19,36.6,high,4744,64163,43.90980783317488
Iowa,s-corp,100-249,49.6,medium,333,48661,53.791578471465854
